Country,All,M,F,Gender,Continent
United States,78.5,75.3,81.6,6.4,North America
Uruguay,77.9,74.1,81.5,7.4,South America
Uzbekistan,71.7,70.6,73.8,4.3,Asia
Vanuatu,70.5,69,72.2,3.2,Oceania
Vatican,82.3,80,84.7,4.7,Europe
Venezuela,72.1,68.3,76,7.7,South America
Vietnam,75.4,71.3,79.5,8.2,Asia
Yemen,66.1,63.4,67.5,3.4,Asia
Zambia,63.9,60.8,66.9,5.9,Africa
Zimbabwe,61.5,59.8,62.9,3.1,Africa
